бит,сплитов,молекул,разных окружений,доля главного,радиус,подструктура,пример,n_1A2,d_1A2,n_2C9,d_2C9,n_2D6,d_2D6,n_3A4,d_3A4
932,18,396,9,0.783,1,c(n)n,COC1=CC=C2C=C(C(=O)N3CCN4C=NC=C4C3)N(C)C2=C1,146,0.39,92,0.115,190,0.349,150,0.16
1060,17,939,10,0.766,0,C,[H][C@@]12CCC3=CC(O)=CC=C3[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],230,-0.293,239,-0.035,280,-0.059,451,-0.005
935,17,3504,16,0.592,0,N,CCOC(=O)N1CSCC1C(=O)O,893,-0.381,952,-0.206,1022,0.179,1749,-0.224
1208,16,222,6,0.977,2,c(cc)nc,O=S(=O)(C1=CC=CC2=CN=CC=C12)N1CCCNCC1,81,0.318,61,0.519,122,0.188,74,0.6
1972,16,147,15,0.775,2,c(OC)(cc)cc,COC1=CC=C2C=C(C(=O)N3CCN4C=NC=C4C3)N(C)C2=C1,48,0.093,46,0.192,51,0.507,61,0.496
1956,16,503,11,0.97,1,n(c)n,CCC1=NN(CCCN2CCN(C3=CC=CC(Cl)=C3)CC2)C(=O)N1CCOC1=CC=CC=C1,168,-0.041,129,-0.067,100,-0.358,264,0.005
1855,16,1363,7,0.791,1,n(c)c,CC(C)NCC(O)COC1=C2C=CC=CC2=CC=C1,523,0.021,362,0.045,392,-0.1,571,0.136
1800,16,81,11,0.736,2,O(CO)c(c)c,COC1=CC=C2C=C3C4=C(C=C5OCOC5=C4)CC[N+]3=CC2=C1OC,22,0.208,13,-0.156,32,-0.076,42,0.23
1504,15,612,10,0.968,1,C(c)(N)=O,COC1=CC2=NC(N3CCN(C(=O)C4=CC=CO4)CC3)=NC(N)=C2C=C1OC,126,-0.404,183,-0.013,93,-0.126,380,-0.157
1480,15,2104,15,0.965,1,C(C)N,O=S(=O)(C1=CC=CC2=CN=CC=C12)N1CCCNCC1,446,-0.512,578,-0.228,612,0.076,1102,-0.199
1773,15,40,14,0.325,1,C(C)(C)C,C[C@H](N)[C@H](O)C1=CC=CC(O)=C1,10,-0.241,9,,16,-0.147,20,0.023
1620,15,65,15,0.288,2,n(c[nH])nc,O=C(NC1=CN(C2=CC=CC=C2)N=C1)NC(C1=CC=CC=C1)C1=NN=CN1,24,0.115,17,-0.075,19,-0.227,34,-0.215
1385,15,836,10,0.77,1,c(C)(c)c,O=C(O)C1=CN=CC=C1,239,0.045,227,0.072,199,0.001,439,-0.164
875,15,2441,16,0.988,1,c(c)c,NCCC1=CNC2=CC=C(O)C=C12,769,0.172,674,0.249,726,-0.095,1164,0.34
950,15,588,13,0.968,1,C(C)O,CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2,147,-0.346,169,-0.259,136,0.161,297,-0.303
736,15,344,16,0.889,2,c(cc)c(-c)c,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C(=O)N[C@@H](CCC(=O)O)C(=O)O)C=C1,151,0.429,94,0.238,107,-0.148,128,0.229
1455,14,264,12,0.57,1,n(-c)(c)n,CC1=NC=CN1CC1CCC2=C(C1=O)C1=CC=CC=C1N2C,92,-0.07,61,0.01,74,-0.238,117,0.068
378,14,3538,9,0.99,0,n,CC1=C(O)C(C=O)=C(CO)C=N1,1143,0.258,952,0.073,1055,-0.031,1640,0.097
1243,14,306,10,0.91,1,C(c)C,NCCC1=CNC2=CC=C(O)C=C12,94,0.146,90,0.108,108,0.129,147,0.347
1535,14,1218,12,0.915,1,c(c)n,CC1=C(O)C(C=O)=C(CO)C=N1,378,0.078,342,0.064,367,0.001,550,0.003
980,14,361,19,0.639,1,c(-c)(c)n,C[C@H](CC1=CC(C(N)=O)=C2C(=C1)CCN2CCCO)NCCOC1=C(OCC(F)(F)F)C=CC=C1,161,0.149,97,0.316,113,-0.065,133,0.411
1136,13,192,15,0.701,1,C(c)#N,COC1=CC=C2C=C(C(=O)N3CCN4C=NC=C4C3)N(C)C2=C1,59,0.394,44,-0.021,59,-0.24,84,0.375
119,13,452,21,0.676,1,c(c)(c)[nH],NCCC1=CNC2=CC=C(O)C=C12,165,-0.027,135,0.294,146,-0.022,210,0.197
79,13,122,16,0.645,1,C(c)C,CNC(C)CC1=C(OC)C=CC=C1,28,0.137,35,0.274,51,-0.081,55,0.238
1114,13,1246,13,0.701,0,[nH],O=S(=O)(C1=CC=CC2=CN=CC=C12)N1CCCNCC1,431,-0.016,351,0.11,400,-0.106,549,-0.041
197,13,836,10,0.977,1,N(C)C,COC1=CC2=C(C=C1)NC=C2CCNC(C)=O,203,0.025,219,0.108,305,-0.054,385,-0.004
1028,13,1371,9,0.968,1,C(C)C,CC(C)NCC(O)COC1=C2C=CC=CC2=CC=C1,339,-0.306,345,-0.212,370,0.059,729,-0.076
486,13,1071,7,0.953,1,C(c)(N)=O,CSC1=CC=C2SC3=C(C=CC=C3)N(CCC3CCCCN3C)C2=C1,363,0.104,315,0.168,273,-0.09,515,0.002
1425,13,41,12,0.415,2,C(c(c)c)n(c)c,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,19,0.965,9,,23,0.548,12,0.184
396,13,74,9,0.8,2,c(nc)n(-c)c,O=C(NCC1=CC=C(N2C=CN=C2)N=C1)NC1COC2=CC=CC=C21,35,0.64,16,0.498,55,0.768,18,0.879
