series,size,anchor,anchor_meansim,anchor_maxsim,CYP1A2,CYP2C9,CYP2D6,CYP3A4
109,4,1191,0.564,0.621,6.182241923,,,
110,1,1191,0.548,0.548,6.182241923,,,
111,3,1191,0.52,0.526,6.182241923,,,
112,1,1191,0.596,0.596,6.182241923,,,
113,1,1191,0.562,0.562,6.182241923,,,
114,2,983,0.57,0.574,6.196405395,,,4.914309425
115,2,983,0.608,0.63,6.196405395,,,4.914309425
116,6,983,0.549,0.589,6.196405395,,,4.914309425
117,10,891,0.627,0.667,6.310498873,,2.08928974,
118,10,1285,0.65,0.672,5.90486086,,,
119,4,1763,0.604,0.611,6.818886595,5.749082955,,4.71810331
120,6,1763,0.681,0.83,6.818886595,5.749082955,,4.71810331
121,4,1664,0.591,0.596,6.011393107,5.653026855,5.495574588,5.433437555
122,6,1664,0.623,0.712,6.011393107,5.653026855,5.495574588,5.433437555
123,9,2177,0.572,0.656,6.87456773,,,
124,1,2177,0.531,0.531,6.87456773,,,
125,10,2660,0.615,0.667,,6.634048078,4.24919818,4.856294702
126,2,3341,0.562,0.6,,,,6.02859067
127,8,3341,0.558,0.606,,,,6.02859067
128,8,2305,0.538,0.566,7.16801983,5.046635412,,
129,1,2305,0.619,0.619,7.16801983,5.046635412,,
130,1,2305,0.525,0.525,7.16801983,5.046635412,,
131,10,3591,0.592,0.649,,6.264391032,4.45536569,
132,9,384,0.597,0.641,3.434587342,4.468207203,,4.680828975
133,1,2758,0.583,0.583,6.30273673,,,
134,6,958,0.513,0.564,7.520682635,6.112180515,,
135,2,958,0.557,0.591,7.520682635,6.112180515,,
136,1,2014,0.492,0.492,3.662254772,4.7849691,,
137,1,958,0.5,0.5,7.520682635,6.112180515,,
138,2,3984,0.524,0.524,,,5.275216935,6.284807875
139,6,4521,0.657,0.767,,,,4.963924383
140,1,4550,0.547,0.547,,,,5.384433152
141,1,3984,0.54,0.54,,,5.275216935,6.284807875
142,3,2033,0.55,0.571,6.820619263,6.375863372,5.220961942,5.879786
143,1,2033,0.508,0.508,6.820619263,6.375863372,5.220961942,5.879786
144,1,2033,0.557,0.557,6.820619263,6.375863372,5.220961942,5.879786
145,3,2033,0.533,0.576,6.820619263,6.375863372,5.220961942,5.879786
146,1,2033,0.5,0.5,6.820619263,6.375863372,5.220961942,5.879786
147,1,2033,0.526,0.526,6.820619263,6.375863372,5.220961942,5.879786
148,2,1379,0.496,0.508,6.00149444,,4.772501642,
149,2,1379,0.511,0.522,6.00149444,,4.772501642,
150,1,1379,0.492,0.492,6.00149444,,4.772501642,
151,10,1945,0.618,0.684,6.430027715,6.541585735,5.303019205,
152,8,693,0.666,0.811,5.503999183,,5.762859247,6.69209685
153,3,693,0.592,0.673,5.503999183,,5.762859247,6.69209685
154,2,1812,0.641,0.712,5.725068442,,6.715962757,6.936491525
155,6,1812,0.603,0.641,5.725068442,,6.715962757,6.936491525
156,1,1812,0.646,0.646,5.725068442,,6.715962757,6.936491525
157,10,1140,0.671,0.764,5.584006195,6.158324037,6.908166937,
158,29,4039,0.589,0.83,4.880023233,6.476960755,5.032280945,
159,10,2104,0.542,0.583,6.463543148,6.556153238,6.269737023,6.296327448
160,1,1812,0.585,0.585,5.725068442,,6.715962757,6.936491525
161,2,1711,0.626,0.652,,6.923698355,4.794812773,
162,7,1711,0.637,0.684,,6.923698355,4.794812773,
163,1,1711,0.652,0.652,,6.923698355,4.794812773,
164,4,4533,0.689,0.759,,,,6.57682035
165,6,4533,0.58,0.612,,,,6.57682035
166,10,2517,0.729,0.804,6.34625435,,,
167,3,4779,0.505,0.52,,,,6.163297652
168,8,4753,0.53,0.59,,,,6.072193412
169,2,4753,0.566,0.6,,,,6.072193412
170,16,4385,0.651,0.791,,,,6.149932165
171,1,4406,0.7,0.7,,,,5.158784883
172,6,1168,0.565,0.608,,4.918670342,5.838852068,6.337594522
173,2,1168,0.599,0.623,,4.918670342,5.838852068,6.337594522
174,1,1168,0.541,0.541,,4.918670342,5.838852068,6.337594522
175,1,1168,0.547,0.547,,4.918670342,5.838852068,6.337594522
176,7,2216,0.587,0.644,6.3495178,4.476346005,,4.6176576
177,2,3364,0.634,0.639,2.775252913,,,
178,1,3243,0.646,0.646,5.272406787,,,
179,4,2577,0.531,0.569,,6.121997667,4.773710355,5.439484532
180,1,2577,0.507,0.507,,6.121997667,4.773710355,5.439484532
181,2,2577,0.559,0.588,,6.121997667,4.773710355,5.439484532
182,2,2577,0.539,0.542,,6.121997667,4.773710355,5.439484532
183,1,2577,0.597,0.597,,6.121997667,4.773710355,5.439484532
184,10,4738,0.6,0.667,,,,4.785576687
185,10,2512,0.63,0.672,,5.960118485,,
186,4,3462,0.57,0.59,4.935100625,,,
187,6,2625,0.593,0.656,6.829797427,,,
188,9,2173,0.58,0.615,,6.408664265,4.51859299,
189,1,2173,0.583,0.583,,6.408664265,4.51859299,
190,6,1169,0.579,0.654,,,,4.994726167
191,1,2657,0.525,0.525,5.951268233,,4.876253692,
192,1,2657,0.531,0.531,5.951268233,,4.876253692,
193,1,2657,0.583,0.583,5.951268233,,4.876253692,
194,1,2657,0.54,0.54,5.951268233,,4.876253692,
